Tweet_ID,Tweet,Label
47,نجــآوى اللّيل تجعلكم أقوى كثيراً من أوجآعكم الغآئرة وأكبر من أمنيــآتكم الضّآئعة اللّيل ملاذكم الآمن ، لا تضيّعوه ب رقآد #م,OBJ
48,بيقوللك حظروا مقرات 6 ابريل؟ لو يعرفوا اللى فيها هيجمعولهم تبرعات #اه_والله,OBJ
49,#غرد_للعين #الوصل #الوحدة #الهلال #النصر #ريال_مدريد #برشلونه #ميلان #مورينهو #رونالدو #ميسي 😝😝😝😝,OBJ
50,كل #ضحكة من شفاتـك تقلب الدنيا جنون،انت للدنيا بذاتك فوق مالا يعقلون ♯ ♡,POS
51,صفحتنا على الفيس بوك عدت مليون,OBJ
52,دخل الآن موعد صلاة العشاء #بوسطن,OBJ
53,يعني لما أقول إن مبارك المخلوع سحب سفيرنا من إسرائيل مرتين قبل كده يوصل اللغط أن النعاج والخرفان يقولوا أني بشكر فيه؟ فعلاً بكل طلاقة #ماء,NEG
54,تعرف على بعض أراء د/ عبد المنعم أبو الفتوح الاقتصادية وموقفه من البنوك ومن الحد الأدنى للإجور د/ عبد المنعم,OBJ
55,"الجيش المصري يقتل ""إرهابيا"" في #سيناء وإصابة ثلاثة رجال شرطة #مصر #الإخوان #إرهاب",OBJ
56,كشف لنا الانقلاب جيش البلطجية فى مصر لم نكن نتخيل ابدا انه بهذه الاعداد الهائلة والسلاح الوفير والعلاقات الطيبة مع الحكومة,NEUTRAL
57,وزير العدل يلتقي سفير السعودية بالقاهرة لبحث مساعدة مصر في استرداد الأموال المهربة #مصر #ميدان_التحرير,OBJ
58,#الشبراوية_مع_الشرعية|#حاميها_حراميها الآن من مسيرة #شبرا_الخيمة بالجزيرة مباشر مصر #العز_بن_عبدالسلام,NEG
59,حجم المسؤولية على قنوات اون تي في سيزداد أكثر مع المرحلة المقبلة #السادة_المحترمون,OBJ
60,العَجلة من الإخوان مقال اليوم في الشروقحديث عن نصيحة قديمة من ابراهيم عبد الهادي لحسن البنا لم تستفد منها الجماعة,OBJ
61,مصر وتونس والسنغال في مجموعة الموت بتصفيات كأس افريقيا #رويترز,OBJ
62,كل العار الذي عشناه من سنين طويلة يتلخص في هذا الفيديو,NEG
63,ده بس من ذوقك,OBJ
64,شاهد - آخر كلام: مصر تملأ مصر عام على الثورة #25 #,OBJ
65,المناضل #حمدين_صباحي سيظل يناضل ويناضل حتى يجد نفسه محكوما عليه بالإعدام بتهمة ممارسة النضال في مكان عام وبكرة تشوفوا,POS
66, يعلم #الأقصى أن يوماً سيأتيه رجال يحبُون الشهادة كما يحب المُـتخاذلون الحياة ! #فلسطين ,NEUTRAL
67,مع كل اللى بنشوفه كل شئء جائز :)),OBJ
68,أهدم نفسك عشان تبني مستقبلك !! #التعليم_في_مصر,NEG
69,شكرا شاركت بالفعل في اجتماع تأسيسية الدستور ولم نصل لشيء بعد!,OBJ
70,الآيات من ٨ إلى ١٢ من سورة البقرة الله,OBJ
71,#بيقولك_أعرف_بلدك مجموعة السلطان المنصور قلاوون #503,OBJ
72,_ هل من الاسلام لستخدام المساجد لاطلاق النار علي الاخر هل هذه هي وظيفة المسجد في الاسلام؟؟؟,OBJ
73,الجزء الثاني من حلقة الليلة,OBJ
74,من تاحالا فکر می‌کردم استخرها به خاطر نظافت تمیز و زلال میشن، نگو به خاطر فراموش نکردن دریچه‌های اطرافشون بوده! #مترو …,OBJ
75,لابد من عودة المواطن الى المشهد السياسي من خلال المشاركه العاليه و الواعيه فى الانتخابات,OBJ
76,"إخلاء سبيل #سما_المصرى وتغريمها 20 ألف جنيه فى قضية بث قناة ""#فلول""",NEG
77,3_ 0 لأ ارجوك خلي دمك خفيف إيه ده؟ فين كتالوج الألشة؟,NEG
78,84] #تاملات_ايمانية #غرد_بالخ…,OBJ
79,"دمحمد الجوادي يشيد بإنجازات مبارك في كتابه ""النخبة المصرية الحاكمة"" #مصر #قطر #الإمارات #السعودية #البحرين #لبنان",POS
80,أموي #سوريا • #جبهة ثوار سوريا _ القطـْـْاع الجنوبي درعا - الوية العمري - 26 - 6 - 2014 ابطال الوية العمري,OBJ
81,تم تأجيل لقاء دعمرو حمزاوي في نادي هليوبوليس إلي يوم السبت 26,OBJ
82,حمى الاعتقال فاقت الواقع والخيال,NEG
83,هل الفرح حرام ؟ كان الخطأ الأول لزملاءنا الإنقاذيين وإعلامهم ، هو امتناعهم عن المساهمة فى إنقاذ وتحرير جنودنا من,NEG
84,#السيسي_هايصالح #زينة #أحمد_عز,OBJ
85,في يوم الارض المجد كل المجد لمن يقاوم بامعائهه الخاوية #سامر_العيساوي #,POS
86,هيئة الطيران المدني تمنح أول رخصة تشغيل دولي من مطار #الجوف إلى #القاهرة لشركة نسما بمعدل 3 رحلات أسبوعياً بداية من يونيو المقبل #تبوك,OBJ
87,مع اعلام خالتى فرنسا يؤكدون ان فيديو سيسي المسرب مفبرك ثم يؤكدون (هم بشحمهم ولحمهم) ملاحقة من سرب الفيديو,NEG
88,مبادره دستورهم باطل لتعريف الشارع بالمساوئ الاقتصاديه و الاجتماعيه للدستور ببساطة،ريتويت بقا 3 مرات قبل الأ,NEG
89,أحمد شفيق يعرض خدماته الانتخابيّة على #السيسي ,OBJ
90,#ﺍﻟﺸﻌﺐ_ﻳﺮﺩ_تحية_الرئيس #انتخبوا_ #خليك_مصدق ان #الاخوان ارهابيين بدليل ان مات منهم بعد الانقلاب اكثر من 3الاف,NEUTRAL
91,عاد جلاّد الأندية ؛ وحاكم الكرة الدائم 😍️ #تصميمي #ريتويت #ريال_مدريد #كريستيانو_رونالدو,POS
92,لو حد قال بعد كدا الإخوان مصريين أوفصيل وطنى لازم يتحاكم بتهمة الخيانة أو الغباء!!,NEG
93,من أرشيف الصور لقاء د/ عبد المنعم أبو الفتوح مع بعض متطوعي الحملة - فريق بنها,OBJ
94,السماح لرموز الحزب الوطنى المنحل بالظهور للإعلام محاولة لخلق حالة تدلس على الرأى العام بان هناك رأى ورأى آخر عص,NEG
95,ردا علي الدكتور يحي الجمل,OBJ
96,"علاء الاسواني مقاله الاسبوعي بعنوان: ""من أين تنفقون ؟!"" وينشر صباح غد بجريدة المصري اليوم >>",OBJ
97,جميع الأديان تتفق على حماية الدين وحماية المال وحماية العرض وحماية الدماء #السادة_المحترمون …,OBJ
98,استعدوا لاتنين ريتويت حالا بس ما تعلقوش الا لما تقروا الاتنين:),OBJ
99,خالد ابو بكرمحامي الشهداء قال انه لايعلم من صاحب القرار بمنع محاميي الشهداء وأسرهم من حضور محاكمة مبارك تقدم باكثر من شكوى بلا فائدة,OBJ
100,الزقازيق الآن حرب شوارع وعلمت ذلك من خلال اتصال بأحد أقاربي هناك ورائحة الغاز تملأ الشوارع,NEG
101,ممكن تكون ضد مبارك ومرسي ممكن تكون مع مبارك ممكن تكون مع مرسي ،، بس الاكيد كلنا لازم نكون مع المساواة والعدل أما…,NEUTRAL
102,#قطر #الدوحة # #حمد #تميم #الرياض #دبي #الامارات # #ابوظبي خمس الاف متابع بـ 200 ريال 525,OBJ
103,في أول لقاء تليفزيوني له، حسن هيكل يتنصل من جمال مبارك ويدافع عن هيرميس ويشرح رؤيته لاقتصاد مصر آخر كلام ١١م,NEG
104,يعتذر دكتور عمرو خالد عن القاء الدرس الأسبوعي (علي خطي الحبيب) اليوم علي أن يتم الإعلان عن موعد الدرس لاحقاً بإذن الله,OBJ
105,الآن: الكاتب والسيناريست بلال فضل و الروائي العالمي علاء الأسواني وقائمة الاغتيالات في آخر كلام على 12053 - 12398 #,OBJ
106,حق الصوت عصام-سلطان/137923242939959,OBJ
107,#بلاغ_لمباحث_الانترنت اللى يعرف المعلومات دى لتزم يكون مشارك فى العمليه,OBJ
108,دعبد المنعم أبو الفتوح: لا يمكن السماح لاحد بالحديث بأسم الاسلام، ولكن يستطيع الكل ان يقدم مفهومه البشري للاسلام،,OBJ
109,اوعه السلميه,OBJ
110,اسماء شهداء الثورة #المجد_للشهداء #ريتويت كتير جدا بقى,POS
111,لم يتم الاتفاق على مناظرة تشمل مرشحين آخرين و إن كنا جميعاً نتمنى ذلك,OBJ
112,#البلو_جرانا يقف على رجليه مجددا، روح الإحياء بعد سلسلة الهزائم #بكفي_حصار #اوقفوا_الإقطاع #رياضة #,OBJ
113,د علاء الأسواني : من هم مرشحو الرئاسة الذين تلقوا أموالاً من الخارج ؟! أقرأ المقال كاملاً >>,OBJ
114,فساد في بعض المستشفيات الغير خاضعة للرقابة,NEG
115,محاكمة المتورطين وذلك بشرط ان تكون الحكومه واجهزتها لديها المصداقيه وليست صاحبة سوابق فى التزوير والتدليس والصاق…,NEG
116,المفسد عادل فقيه #عادل -فقيه -وزير-للصحه,NEG
117,أنا بعد ما عشت المعاناة السنادي لا يمكن أخلي ولادي يكرروها مالها صناعه ! #ثانوية_عامة,NEG
118,البوابة نيوز: اليوم #وائل_جمعة يودِّع الملاعب الإفريقية بالمغرب:,OBJ
119,من أنتم ،،،،، مرسي منتظرين ج…,OBJ
120,"في انتظار حيثيات الحكم لنعرف ""العقل المدبر"" لمذبحة بورسعيد حتي نفهم حقيقة ما يدور في مصر: نرجو أن لا يكون اللهو الخفي الذي يطاردنا منذ عامين",OBJ
121,قد خاب عبداً لآ يصلّي علي النبي نبي عربي ما لي شفيع سوااه #السيرة #دينا_الوديدي,OBJ
122,#اللهم اجمعنا بموتآنا في جنتك,OBJ
123,#حمدين_صباحي : السلطة سلطة الشعب وليست سلطة فرد,OBJ
124,شاهدوا الحلقة ١١ من برنامج عمر صانع حضارة و فيها يمسك عمر بن الخطاب الخلافة ويبدأ بالإقتصاد كأول خطوة لإقامة,OBJ
125,يبقى الكلام دائما أرخص من الدم، ويبقى الفقير هو الضحية المفضلة، وتبقى مصر كما هي تحب ولادها مقتولين، ولا حول ولاقوة إلا بالله,NEG
126,اللي مايعترف ان رونالدو الافضل اشك بقدراته العقلية بصراحه ،لاعب متكامل ضربات راسية وتسديد عن بعد وفاولات ومرواغ #اسطورة,OBJ
127,لما كريستيانو و ديماريا ضيعوا الجولين #ذا_شامبيووونز,OBJ
128,بينما اشار #حمد الى أن الهجوم #الإسرائيلي على #غزة جريمة حرب وفق المواثيق والقوانين والأعراف الدولية مسوخكم إعتبر…,OBJ
129,سيذكر تاريخ مستشفى الامراض العقلية أن محكمة مصرية اصدرت حكم ببرأة الفلول فاحتج الثوار ونزلوا ضربوا بعض فى ميدان التحرير !!,NEG
130,لما اعرف ان #محمد_رمضان عامل مسلسل في رمضان الجاي اسمه ابن حلال أمال مين اللي يبئه ابن كلب,NEG
131,معلش بقى لا #النور ولا #الاخوان ولا الكلام الفاضى دا كله، لو هنقول يا مواقف يبقى الحمد لله على نعمة #حازمون و الشيخ #حازم_ص…,NEUTRAL
132,"#دعوه_للتفاؤل "" ما انزل الله من داء الا انزل له دواء """,OBJ
133,كان صلى الله عليه وسلم يحب الطيب والرائحة الحسنة وكان لا يسلك طريقاً فيتبعه أحد إلا عرف أنه قد سلكه من طيب عرفه #نشر_سيرته #,POS
134,"#الشاهد — #أمين الفتوى السابق #بالأزهر: ظهور إمام ""#عمر_مكرم"" مع #إلهام_شاهين إساءة للأئمة لمشاهدة التفاصيل على",OBJ
135,#شعر #النصر #الهلال #متصدر_لا_تكلمني #الامارات #عمان #سوريا #غرد_بالخير #رتويت #دعاء [2889162],OBJ
136,أَسْتَغْفِر اللَّهَ الْعَظِيم الَّذِي لَا إِلَهَ إِلَّا هُوَ الْحَيَّ الْقَيُّومَ وَأَتُوب إِلَيْهِ #استغفار #اذكار #دعاء #أدع…,OBJ
137,#ﺗﺘﺸـﻞ ﺁﻵﯾـﺂﺩﻯ ﺁﻟﻠﻰ ﻗﺘﻠﺖ #ﺟﻨﻮﺩ ﺑـﻶﺩﻯ #مصر #الارهاب,NEG
138,#اللهم زد أحبتي #عفواً وعافية وتوفيقاًً وسداداً وصلاحاً #وأحفظهم من كل سوء #صباح الخير,POS
139,_ بوجود خالد يوسف في لجنة الدستور هل تتوقع ان يكتبوا علي بوابة الدخول في مطار القاهرهللكبار فقط,OBJ
140,شاهد - آخر كلام: الثوار وقوات الأمن والطرف الخفي #,OBJ
141,ﻭﻗﺎﻝ ﻝَﻡَّﺍ ﺣﻮﺻﺮ ﻓﻲ ﺩﺍﺭﻩ: يبيت ﺃﻫﻞ ﺍﻟﺤﺼﻦ ﻭﺍﻟﺤﺼﻦ ﻣﻐﻠﻖ ﻭﻳﺄﺗﻲ ﺍﻟﺠﺒﺎﻝ ﺍﻟﻤﻮﺕ ﺷﻤﺮﺍﺧﻬﺎ ﺍﻟعلا #عثمان_بن_عفان,OBJ
142,"صباح الخير على كل قراء ""بوابة الشروق"" الصورة لـ""معبد هابو"" بـ #الأقصر #غرد_بصورة …",OBJ
143,قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة,POS
144,الله يبركلك يا دكتور ابو الفتوح #,POS
145,#باقي_على #رمضان,OBJ
146,حتى الاراجوز مالوش مكان فى اعلام العار مطلوب قطيع يكرر ما يسمع ويتملي,NEG
147,يامصر صبرا إن بعد العسر يسرا يامصر صبرا إنما الثورات تترا فاصمدي يامصر وللباغين خسرا #بداية_النهاية,OBJ
148,وكان حصار المتظاهرين واستئجار البلطجية لضربهم وقتلهم ومنعهم من العلاج كان كل هذه الجرائم لم تحدث ولم يرتكبها احد يا للنفاق الرخيص,NEG
149,: مرحلة جديدة من تزييف الوعى #عمرو_حمزاوي ,OBJ
150,"الإنقلاب الدموي كان زمان إسمه ""أين البرلمان؟""",OBJ
151,#ثورة_الانترنت #اقالة_وزير_الاتصالات #مكملين #اعرف_حقك #ستنتصر_ثورة_الانترنت,OBJ
152,تسعين دقيقة رجولة اكسبو وفرحونا #اظن_كده_الرساله_وصلت #المصري # #بورسعيد البوستات مبقتش توصل اﻻ ل10% من,OBJ
153,اذا أجريت الانتخابات بنفس القضاة والضباط الذين اشرفوا على التزوير بنفس النائب العام مع احالة من يعترض الى محاكمة عسكرية النتيجة معروفة,NEG
154,"سلسلة رسائل ثائر سياسي الى حبيبته  ""يوسف مصطفى الحسينى ""#يوسف_الحسينى #مصر # #فلسطين #سوريا #الإمارات #لبنان …",OBJ
155,للأسف انتهى وقتي اليوم ومضطر للجري للجامعة للتدريس ونتعود للدائرة الساعة ٧ مساءا شكرًا وهنكررها كمان أكيد,OBJ
156,هامش للديمقراطية سمات السلطة الشمولية,OBJ
157,#قافلة_حطم_اصنامك 25/4 #اسلوب_حياة,OBJ
158,شاهدوا الحلقة 12 من برنامج عُمَر صانع حضارة - جمع كل الطاقات,OBJ
159,أمي تسألني كل صباح عن معنى الحرب الأهلية تسألني كل صباح و هي تنسق باقة فل في زهرية,OBJ
160,قائمة الدائره الاولى محافظة الشرقيه,OBJ
161,1)منذ السبت الماضي وأنا خارج مصر لظروف عائلية,OBJ
162,__4 ده شفيق اللي متقدم فيه بلاغات الدنيا أخذ نصف الأصوات يعني نصف الناس قبلت العمى ولا قبلتوش أغلبية؟,NEG
163,شاهد- أنباء عن مقتل علي عبدالله صالح والمتحدث باسم الحكومة اليمنية يقول أن إصابته طفيفة وسيظهر خلال ساعات #,OBJ
164,علاء الأسسواني: ان جماعة الاخوان المسلمين تقوم على السمع والطاعة العمياء والولاء المذل الى درجة تلبيس الأحذية >>,OBJ
165,عرض 10 ألاف متابع #صباح_الخير #بعد_منتصف_الليل #غرد_بذكر_الله #صور_كنك_بنت #لو_كنت_المتحكم_بالتويتر [2187367],OBJ
166,الأسماء المقدمة من وفد الأمهات هي لأشخاص كانوا في محيط الداخلية وهناك بالتأكيد تشابه في الأسماء هاني لوقا المقصود أخذ من حول الداخلية,OBJ
167,بيان أعضاء نيابات شرق الإسكندرية يتضمن عبارات كارثية فى حق النائب العاممستحيل استمرار وضع النيابة بهذا الشكل المؤسف,OBJ
168,كلية استغفر الله العظيم المعيدين عايزين يعملوا فيها دكاترة وبيشتغلوا علي مزاجهم #فنون_تطبيقية #دمياط,NEG
169,#اللى_رافضين_السيسى_رئيس_بيعملوا_فولوا_لبعض #مؤيدين_السيسى_بيعملوا_فولو_لبعض #سأنتخب_السيسي كلهم كدابين …,OBJ
170,عندما تحتاج لحوائط عازلة لمؤسسات الدولة فهذا برهان أن تلك المؤسسات ليست لخدمة الشعب وإنما لقهره!,OBJ
171,وقف خط الطيران بين #القاهرة و #أثيوبيا يحتاج إلى قرار سيادي,OBJ
172,اسرائيل تدفع مليارات وتتفرغ سياسيا وعالميا لدعم الانقلاب ما حققه لها فى 100 يوم عجز زعماء صهيون عن تحقيقه فى 100 عام,NEUTRAL
173,مصر كلها هتصوت لعبد المنعم أبو الفتوح القـوى الأميــن,POS
174,#ماهر زين ناااس تشبهلنا : ^_^,POS
175,الراقصة شهيدة لو ماتت أثناء الرقص لأنه عملها …,OBJ
176,4775 وما معنى مجيء مواطنون من المحافظات للتصدي لمتظاهرين من القاهرة؟ ده اسمه إيه؟,OBJ
177,نبيل الخطيب، رئيس التحرير التفيذي في قناة العربية، يتحدث عن الدراسة في معهد الإعلام الأردني.,OBJ
178,#أطباء #ديالى يمنعون من التصويت #العراق_ينتخب,OBJ
179,الدكتور حازم الببلاوى طلع اخوان--------------هههههههههههههههه #الببلاوي: اعتبار الإخوان جماعة إرهابية كان قرارا,NEUTRAL
180,اعد باستعادة حقوق المقهورين والشهداء والمهمشين والضعفاء وان اكون سند الفقراء,OBJ
181,محامي ومستشار قانوني ٠٥٣٨٧٥٥٥٢٧ #نواف #علي #عمر #محمد #خالد #محامي #ركان #سعاد #سعد #حماد #حمد #احمد #يوسف #السعودية #فايز #عاجل #الرياض £,OBJ
182,"#الوئام مناورات ""سيف عبدالله"" رسالة قوية عنوانها… أمن وطن وسلاح أمة #السعودية #الكويت #البحرين",OBJ
183,"بعد المغرب #برنامج_وجهة_نظر على #قناة_مجد وحوار حول ""الاختبار التحصيلي"" ضيفنا: دعبدالله القاطعي نائب رئيس قسم الاختبارات في قياس",OBJ
184,#الحقيقة_مباشر_مصر|#انقلاب_3يوليو شبرا الخيمة جمعة #حاميها_حراميها 25/4/2014,OBJ
185,لو مهتم تعرف ردي هتلاقيه هنا في المقال ده وكل واحد في الحياة ليه منطقه,OBJ
186,بكرة أحلي بإذن الله:),OBJ
187,النهاردة ومرسي في القفص عرفت ان محافظ سوهاج لسه مسماش اكبر ميدان هناك باسم الشهيد الحسيني ابو ضيف لعل المانع خير يا ب…,NEUTRAL
188,النهاردة إستئناف حكم معتقلي الازبكية بالحبس سنتين ومراقبة سنتين ، وجلسة تجديد حبس ٤٠ معتقل في احداث #جامعة_القاهرة ١٦ يناير حبة عدالة يارب,OBJ
189,تابعونى الليلة فى تمام الساعة 10:30 مساءً على قناة مصر 25 برنامج الوان الطيف,OBJ
190,الوسط يحيى ذكرى العبور بوضع أكاليل الزهور على قبر الجندى المجهول ، الشعب يريد عبور جديد,OBJ
191,حلوان وروكسي وعين شمس بورسعيد وبنى سويف والمنيا والفيوم والسويس شكرا حشودكم شعب مصر عظيم,POS
192,3 تم الإتصال أكثر من مرة وستكون عندنا بالغد في لجنة حقوق الإنسان,POS
193,شاهدوا برنامج عُمر صانع حضارة و جميع ندوات رمضان لدكتور عمرو خالد على قناة اليوتيوب,OBJ
194,#أنا_حازم #انصاف_الاخوان#الثائر_البغل #مرسي_رئيسى #سنحيا_كراما #الديوث_برهاميوس#انتخبوا_ #_,NEUTRAL
195,وحدوا الله يا جماعة وبلاش إشاعات عن مفاجآت عشان مش عايزين إحباطات كل الحكاية ملف معقد هنحاول نفهمه مع بعض :),POS
196,بعد وقف العنف فى التحرير، الدكتور عمرو حمزاوي/ يستأنف حملتة الانتخابية من بعد ظهر اليوم,OBJ
197,#سري,OBJ
198,#رصد| فعاليات مناهضة للانقلاب ومتضامنة مع انتفاضة السجون بـ #المنوفية نظم التحالف الوطني لدعم الشرعية ورفض …,OBJ
199,كورسيرا أكبر موقع عالمي يحتوى على مناهج جامعات عالمية هي الأفضل في تصنيف 2013! نتعاون معهم لتعريب المناهج، شاركونا! …,POS
200,المضمون الوحيد لإعلان مرسي الدستوري هو استبداد رئاسي مطلق، مصر أمام انقلاب مرعب على الشرعية وسيادة القانون واغتيال كامل للتحول الديمقراطي,NEG
201,الأسواني:لماذا تصر الولايات المتحدة على استمرارها في دعم مرسي للنهاية رغم قتله للمصريين وقمعه للتظاهرات …,NEG
202,الاشارات البذيئة من يد واصابع علاء الاسوانى لمعارضيه فى فرنسا تكشف المعدن الحقيقي لليبرالية عند الانقلابيين,NEG
203,ألمصريين أحرار !!!!!,POS
204,شاهد - آخر كلام: غضب في الشرق وغضب في الغرب #,OBJ
205,شاهد - آخر كلام: الذكرى 63 للنكبة وأحداث فض المظاهرة أمام سفارة إسرائيل في القاهرة,OBJ
206,لله الحمد تجوزنا 5000 محب و متابع لصفحة #الأقصى متى نصل لـ 10 آلاف محب ومتابع ؟؟ #تغريدات_الدكتور_عوض_القرني,POS
207,#حذر تصبحووون ع خييييير ️,OBJ
208,#النصر_الشباب شكلي اذا شفت صرصور 😂😂,OBJ
209,#طارق_الزمر: فتاوى #برهامي تروج لاغتصاب الأمة أو السلطة,NEG
210,88 إنت باين عليك لجنة أمن دولة مفضوحين جدا,NEG
211,و حاجة كمان بس اديني فرصة,OBJ
212,أحمد عجب - لاعب كويتي ( شخصيات الحملة ) #اجر #انشر #اعلان #الحملة #الكويت #المعلم #البحرين…,OBJ
213,مفاوضات الجمعية لابد وأن تنطلق من قاعدة جمعية تأسيسية من خارج البرلمان ووضع معايير وضوابط تضمن كفاءة الأعضاء وتمثيل أطياف المجتمع,OBJ
214,زوقوك الناس يا دنيا بالكلام عن السلام و الكلام غير الحقيقة و العمل غير الكلام #محمد_محسن,OBJ
215,#شبشب_ابوصباع دة الاداه التربوية الاكثر شهرة و تأثيرا في الشرق الأوسط والمنطقة,OBJ
216,ساركوزي: ما يحدث في الشرق الأوسط هو تطهير ديني للمسيحيين في صحتكم,OBJ
217,#الهولوكوست أبشع جريمة في التاريخ الحديث!صوتي يا انشراح على اساس ان اللي بيحصل للفلسطينيين مش مكفيه …,NEG
218,الحق عائد الشرعية عائدة رئيسنا مرسي عائد بلدنا الحبيب مصر عائد ان شاء الله عائدون عائدون,OBJ
